CountryID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,"Footnotes
1990","Footnotes
1991","Footnotes
1992","Footnotes
1993","Footnotes
1994","Footnotes
1995","Footnotes
1996","Footnotes
1997","Footnotes
1998","Footnotes
1999","Footnotes
2000","Footnotes
2001","Footnotes
2002","Footnotes
2003","Footnotes
2004","Footnotes
2005","Footnotes
2006","Footnotes
2007","Footnotes
2008","Footnotes
2009","Footnotes
2010","Footnotes
2011","Footnotes
2012","Footnotes
2013","Footnotes
2014","Footnotes
2015","Footnotes
2016","Footnotes
2017"
70,Bosnia and Herzegovina,...,...,...,...,...,...,...,...,...,...,44019,37288,33896,26150,36674,37955,29945,32440,29813,36268,78837,35201,52792,60371,75610,48982,55280,51354,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Botswana,183912,...,...,...,...,239202,299148,270048,280114.625,575185.5625,291592.1563,289195.4375,200254.7344,358182.7813,274797.625,474528.7813,219667.0625,422673.375,370841.25,378688.7813,361498.6563,207450.7344,253215.4375,415355.2188,...,...,...,...,,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,
76,Brazil,13306029,...,...,...,...,13935590,14407666,13950788,13552578,13923115,15053090,14088339,14125434,13679593,14327312,14212554,14410801,13706397,15320854,15955646,13857855,15303330,13553210,15175348,14560268,12728817,13162370,13870901,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,British Virgin Islands,...,102.3199997,...,...,...,152.0700073,...,...,...,185.5500031,145.5500031,147.5099945,116.3199997,190.8399963,183.2100067,163.1499939,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Bulgaria,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,74630,70865,115306,82073,74713,84411,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Cabo Verde,1172.393066,...,...,...,...,1172.393066,1172.393066,1172.393066,1172.393066,1172.393066,1398.241089,1047.773438,886.4534302,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Cameroon,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,785944,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Central African Republic,828919.3125,...,...,...,...,918760.6875,954153.25,853232.0625,852786.375,974570.4375,763949.8125,859846.5625,883377.5,904821.0625,826091.375,820703.875,854861.9375,900370.125,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,China,...,...,...,...,...,...,...,...,...,...,6009200,5812200,6261000,6041600,5687600,6101000,5784000,5776300,6200000,5595900,6565000,5513300,6515000,6267400,...,6256900,6867200,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,"China, Hong Kong Special Administrative Region",2247.5,...,...,...,...,3024.300049,2469.5,3670.600098,2815.899902,2337.800049,3022,3394.800049,2734,2132.199951,1909,3529.5,2885.300049,1874.199951,3366.699951,2396.199951,2604.100098,1632.900024,2113.300049,3126.300049,2896.899902,2058.199951,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
