CountryID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1990,Footnotes 1991,Footnotes 1992,Footnotes 1993,Footnotes 1994,Footnotes 1995,Footnotes 1996,Footnotes 1997,Footnotes 1998,Footnotes 1999,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017
8,Albania,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,31731,37401,34090,40116,33253,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1
12,Algeria,...,...,...,...,...,...,...,...,...,...,11050,10245,10245,11276,11276,11276,12707,12707,12707,12707,12707,12707,12707,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Andorra,312.5555725,...,...,...,...,266.6723328,487.9006042,277.03302,199.8090668,324.983551,328.4724426,266.1723328,360.8499451,308.1953125,202.0425415,206.3666534,172.6290588,139.2003632,325.5460205,293.7810364,286.3535767,178.8306274,218.6154022,345.1228333,363.8215027,276.4588318,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Armenia,...,...,...,...,...,6070,...,...,...,...,2873,3323,7893,8684,6302,8457,6734,9367,4439,8333,8681,9285,5822,6379,5532,6441,6882,4663,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Azerbaijan,26710.30078,...,...,...,...,29729.90039,...,...,...,28281.5,28019.69922,27622.09961,35241.10156,38209.69922,35803.80078,29390.59961,35864.60156,33430.30078,26951,29207,33773,32562,26472,24370,23651,22202,25646,20751,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Bangladesh,1741431.375,...,...,...,...,...,...,...,...,...,...,...,...,...,1471138,1213489,1310618.25,1334314,1411521,1154997,1274807,1083624.25,1214805,1574049,1425979,1481150,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Belarus,90819.20313,...,...,...,...,51764,70861,65372,122389,71999,83771,80074,70295,70646,81057,84697,80149,67048,89439,99280,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Belgium,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,29947,29873,24963,26411,29157,22275,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1
84,Belize,...,...,...,...,...,...,...,...,...,...,...,9751,4397,2802,3395,12972,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Bermuda,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3.950000048,3.680000067,3.630000114,3.640000105,3.00999999,2.640000105,2.640000105,2.640000105,2.640000105,2.599999905,2.599999905,2.599999905,,,,,,,,,,,,,,,,,"2,3,4","2,3,4","2,3,4","2,3,4","2,3,4","2,3,4","2,3,4","2,3,4","2,3,4","2,3,4","2,3,4","2,3,4"
70,Bosnia and Herzegovina,...,...,...,...,...,...,...,...,...,...,19607.34375,26858.99414,24597.5957,19433.66016,26449.32031,27303.49023,21963.39453,23626.66992,21875.31445,26178.93555,53907,14614,29393,36371,50727,26008,31663,28107,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Brazil,...,...,...,...,...,...,...,...,...,...,...,9559310,9778653,9272296,9274169,9057372,9391075,9519552,9148923,9307056,9126314,6046432.5,4163652.25,6009135,5715099.5,4043114.75,4047405.75,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Bulgaria,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,83710,109659,118740,105982,102083,82095,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Burundi,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,10061,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,5,,,,,,,,,,,,
344,"China, Hong Kong Special Administrative Region",1242.300049,...,...,...,...,1996.5,1471.599976,2536.800049,1966.199951,1441.300049,1886.300049,2269.300049,1666.099976,1077.199951,589.9000244,2353.100098,1674.800049,338.6000061,1944,889.9000244,1271,283.7999878,812.2999878,2094.100098,1782.599976,1019.5,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Costa Rica,...,...,...,...,...,...,...,...,...,...,...,109980.8594,109144.0781,114064.3906,117158.3281,111939.1094,104074.6719,119087.3594,121639.8125,106538.5391,136020.5625,110256.0078,95862.78906,96053.95313,112310.9297,106960.0469,104994.4922,109827.4688,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,
191,Croatia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,24923,13080,16209,...,...,...,112660,123513,145518,144715,114550,204950,187893,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7
192,Cuba,...,...,...,...,...,...,...,...,...,...,...,...,...,...,24593,64761,51987,74581,57021,32920,48436,45387,59447,51732,49901,44266,45712,66930,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,Curaçao,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1092,629,440,529.0999756,384.2999878,340.3999939,541,518.5999756,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Cyprus,...,733,600,393,800,...,759,515,497,386,342,321,284,321,323,230,233,277,165,374,257,335,474,177,236,290,258,196,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1
203,Czechia,9994,9504,12519,10085,15157,18209,18254,18603,13944,14460,14953,16184,24106,11900,12796,15639,19290,13987,10901,11933,25110,13980,13065,19885,8511,10020,11750,14506,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,
218,Ecuador,34465.40625,...,...,...,...,86777.66406,89866.36719,145385.4063,56448.10156,157154.5781,96859.91406,97546.53125,122325.9063,84259.00781,53009.47656,52853.125,97432.80469,98682.86719,170909.2031,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,Egypt,...,...,...,...,...,...,...,...,...,...,...,...,...,59532,46009,54992,69504,84801,77229,56800,43422,64589,51385,...,...,56800,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,El Salvador,22135.8125,...,...,...,...,26802.64453,28584.26563,15762.4707,30090.9707,25940.72461,20232.38867,14438.86523,17682.54688,19636.15039,16391.21484,30382,25880.37695,21721.24023,27126.43555,18489.18359,34266.20313,32152.48242,17853.84961,15364.69824,15398.41211,13376.64551,10623.57227,24677,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,Estonia,17896,...,12860,10480,13460,13249,13209,19004,25108,23259,...,...,...,...,...,28986,7635,31431,...,...,...,30371,29946,19958,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,
246,Finland,90500,152800,152800,83600,101700,109000,93000,96500,125000,104800,121000,102000,81700,88200,142200,120800,106926,99000,153382,92012,106952,127036,159329,110632,101283,149916,127558,128739,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,France,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,76355,509886,509244,216685,170922,212978,135698,213022,280347,247934,137789,229555,162512,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,Gambia,412,...,...,...,...,1882,...,...,...,6921,3451,2726,-2020,3022,2787,6526,-1010,-868.4880371,5360.75,12195.54492,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,Georgia,55054,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,Germany,162000,126000,177000,198000,212000,222000,132000,148000,205000,214000,204000,245000,270000,102000,174000,151000,150000,206000,167000,172000,189000,130000,169000,181000,131000,132000,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,Hungary,92409,84516,97102,95341,83456,129678,118900,114100,130300,148300,119648,121716,129694,83461,119911,138003,132886,108100,109968,125106,166034,88426,95086,126150,113738,91728,114687,101293,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,Iceland,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,135151,164326,163905,145361,158627,122733,172947,150926,156393,175903,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,Iraq,...,...,...,...,...,...,...,204939,171016,115631,129223,106205,150236,162744,140010,114630,164186,121221,87621,32110,50120,79640,61642,65009,48933,45251,57798,46199,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,Ireland,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,45564,57071,44282,65331,70316,42947,56077,56991,49498,63931,71695,47905,52208,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,Italy,172000,...,...,...,...,...,...,...,...,...,...,106385,128473,104891,148520,118894,76022,72450,134700,156212,181391,0,0,0,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,Jamaica,9267,...,...,...,...,...,...,...,...,...,...,...,...,...,...,11029,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,Jordan,...,...,...,...,...,...,...,...,...,...,...,1013.599976,1270.599976,1416.699951,1180,...,635.0700073,662.5200195,519.3300781,666.8272095,849.9500122,599.9299927,578.2000122,587.2000122,599,872,820.4000244,653.9000244,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,Kazakhstan,...,...,...,...,...,...,...,...,...,...,...,...,...,125100,128500,133600,103900,117500,89700,100000,143600,101800,92700,121100,109800,107400,146100,139000,,,,,,,,,,,,,,8,8,8,8,8,8,8,8,8,8,8,8,8,8,
414,Kuwait,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,95.40000153,28.70000076,107.9800034,25.36000061,75.87000275,122.3499985,110.8499985,65.44000244,92.98999786,82.90000153,45.29999924,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,Kyrgyzstan,34144,...,...,...,...,25035,26303,24460,32335,22164,22360.16992,22952.90039,29964.17969,24288.35938,21672.09961,21266,18673.50977,21987.32031,21482.24023,28506,29222.80078,22191.69922,30674.30078,...,...,...,...,...,9,,,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,,,,,,,,
