Country ID,Country,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"GHG total without LULUCF, latest year",% change since 1990,"GHG emissions per capita,
 latest year"
,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year,"1000 t of
 CO₂ equivalent",%,kg of CO₂ equivalent
72,Botswana,...,...,...,...,"9,291.74",...,...,...,...,...,"6,139.54",...,...,...,...,...,...,...,...,...,...,...,...,...,...,"23,977.58",...,...,...,2015,23977.58,...,11.31
76,Brazil,"5,49,508.95","5,71,124.50","5,79,937.39","5,92,150.01","6,10,399.21","6,36,112.07","6,42,566.41","6,67,841.99","6,86,733.41","7,02,806.13","7,26,356.22","7,45,108.42","7,61,523.80","7,79,225.00","8,14,206.76","8,29,852.13","8,35,405.20","8,40,726.07","8,68,919.21","8,55,372.90","9,17,073.32","9,53,766.85","9,83,403.27","10,23,745.34","10,51,252.38","10,26,660.50",...,...,...,2015,1026660.50,86.83,5.02
96,Brunei Darussalam,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"9,488.83",...,...,...,...,...,...,...,...,2010,9488.83,...,24.42
100,Bulgaria,"1,01,794.34","83,349.88","77,727.07","76,742.25","73,107.41","74,614.54","74,782.90","71,967.78","67,955.96","60,709.30","59,580.03","62,640.66","59,963.84","64,510.04","63,592.41","64,117.73","64,678.35","68,555.80","67,142.57","58,154.08","60,726.73","65,995.81","60,940.95","55,666.99","58,679.25","61,920.68","59,345.03","61,682.76","57,815.59",2018,57815.59,-43.20,8.20
854,Burkina Faso,...,...,...,...,"5,968.24",...,...,...,...,...,...,...,...,...,...,...,...,"20,413.01",...,...,...,...,...,...,...,...,...,...,...,2007,20413.01,...,1.43
108,Burundi,...,...,...,...,...,...,...,...,"1,995.44",...,...,...,...,...,...,"1,480.91",...,...,...,...,"1,939.17",...,...,...,...,"1,707.29",...,...,...,2015,1707.29,...,0.17
132,Cabo Verde,...,...,...,...,...,292.92,...,...,...,...,447.66,...,...,...,...,,,,,,,,,,,,,,,2000,447.66,...,1.05
116,Cambodia,...,...,...,...,"12,762.59",...,...,...,...,...,"24,109.09",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,24109.09,...,1.98
120,Cameroon,...,...,...,...,"1,65,725.02",...,...,...,...,...,"28,939.00",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,28939.00,...,1.87
124,Canada,"6,03,221.87","5,94,872.98","6,12,470.51","6,15,048.51","6,36,374.33","6,53,057.98","6,74,575.22","6,86,114.63","6,93,059.08","7,07,363.77","7,30,681.59","7,19,697.17","7,23,948.36","7,40,245.80","7,41,584.48","7,29,747.17","7,20,516.11","7,42,313.66","7,22,567.97","6,80,493.57","6,90,530.62","7,02,412.98","7,10,108.30","7,20,877.45","7,21,353.74","7,20,380.18","7,06,196.41","7,13,838.21","7,29,349.27",2018,729349.27,20.91,19.67
