Country ID,Country,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"GHG total without LULUCF, latest year",% change since 1990,"GHG emissions per capita,
 latest year"
,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year,"1000 t of
 CO₂ equivalent",%,kg of CO₂ equivalent
400,Jordan,...,...,...,...,"21,943.44",...,...,...,...,...,"19,401.93",...,...,...,...,...,"27,752.00",...,...,...,...,...,...,...,...,...,...,...,...,2006,27752.00,...,4.63
398,Kazakhstan,"4,01,871.42","3,88,981.94","3,60,142.31","3,22,478.57","2,74,206.46","2,55,808.65","2,37,527.36","2,30,633.86","2,28,926.65","2,03,735.18","2,38,979.34","1,98,340.60","2,16,042.50","2,37,980.28","2,48,963.98","2,62,116.25","2,84,307.53","2,92,204.62","2,95,595.60","2,89,196.42","3,20,259.32","3,11,437.82","3,17,589.18","3,26,985.99","3,51,113.73","3,59,580.68","3,60,520.71","3,81,931.52","3,96,570.47",2018,396570.47,-1.32,21.65
404,Kenya,...,...,...,...,"21,466.23","34,868.51",...,...,...,...,"34,213.05",...,...,...,...,"39,765.16",...,...,...,...,"49,964.09",...,...,...,...,...,...,...,...,2010,49964.09,...,1.19
296,Kiribati,...,...,...,...,27.97,...,...,...,...,...,...,...,...,...,29.66,31.23,256.41,271.21,170.31,...,...,...,...,...,...,...,...,...,...,2008,170.31,...,1.72
414,Kuwait,...,...,...,...,"32,373.39",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"86,336.98",...,...,2016,86336.98,...,21.82
417,Kyrgyzstan,"28,392.48","25,545.53","22,097.85","17,662.99","13,326.10","9,839.62","9,788.59","10,790.37","9,642.83","9,223.92","9,279.34","9,241.10","9,828.88","10,268.92","10,990.12","11,369.69","11,435.36","12,478.44","13,746.30","13,636.63","12,773.96",...,...,...,...,...,...,...,...,2010,12773.96,-55.01,2.36
418,Lao People's Democratic Republic,"6,866.56",...,...,...,...,...,...,...,...,...,"8,898.18",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,8898.18,29.59,1.67
428,Latvia,"26,288.57","24,408.85","19,652.62","16,239.32","14,312.39","12,954.57","13,004.99","12,454.06","11,956.98","11,177.51","10,561.51","11,142.87","11,118.97","11,308.07","11,276.28","11,451.43","11,932.70","12,380.71","11,906.52","11,221.35","12,309.64","11,519.61","11,336.64","11,264.06","11,166.00","11,214.00","11,203.13","11,248.15","11,745.26",2018,11745.26,-55.32,6.09
422,Lebanon,...,...,...,...,"15,702.33",...,...,...,...,...,"18,446.84",...,...,...,...,...,...,...,...,...,...,"24,484.86","26,223.53","26,134.76",...,...,...,...,...,2013,26134.76,...,4.42
426,Lesotho,...,...,...,...,"1,820.29",...,...,...,...,...,"3,512.89",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,3512.89,...,1.73
430,Liberia,...,...,...,...,...,...,...,...,...,...,"8,021.78",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,8021.78,...,2.82
438,Liechtenstein,228.39,235.90,236.09,243.22,229.68,233.53,235.90,248.47,259.49,256.50,247.12,246.70,253.01,263.28,263.96,264.51,267.84,238.55,258.55,243.91,229.02,215.97,225.20,231.77,199.73,197.79,187.99,194.00,181.08,2018,181.08,-20.72,4.78
440,Lithuania,"48,016.43","50,014.70","30,804.47","24,733.05","23,313.27","22,332.61","23,384.19","22,935.81","23,918.89","21,059.86","19,523.18","20,317.59","20,680.25","20,844.98","21,702.41","22,801.83","23,095.70","25,282.97","24,376.27","20,068.47","20,887.59","21,462.69","21,396.48","20,167.64","20,110.69","20,400.43","20,420.35","20,617.61","20,266.83",2018,20266.83,-57.79,7.23
442,Luxembourg,"12,741.06","13,382.78","13,146.80","13,293.45","12,468.53","10,091.81","10,155.26","9,503.14","8,622.18","9,087.98","9,669.11","10,158.18","10,934.88","11,376.30","12,766.97","13,009.12","12,838.07","12,253.93","12,135.10","11,587.58","12,169.06","12,046.25","11,773.25","11,234.48","10,776.85","10,290.10","10,050.69","10,235.70","10,547.15",2018,10547.15,-17.22,17.46
450,Madagascar,...,...,...,...,"21,933.66",...,...,...,...,...,"29,343.90",...,...,...,...,"25,924.60","27,695.96","27,733.32","27,239.25","27,414.91","27,756.08",...,...,...,...,...,...,...,...,2010,27756.08,...,1.31
454,Malawi,"8,044.56",...,...,...,"7,070.34",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994,7070.34,-12.11,0.73
458,Malaysia,"67,367.88","94,590.97","1,02,038.42","1,12,581.63","1,23,587.83","1,25,005.30","1,43,655.76","1,63,827.66","1,55,853.09","1,69,353.53","1,95,703.31","2,04,986.35","2,13,125.60","2,27,260.32","2,44,841.99","2,62,996.44","2,63,945.15","2,79,777.19","2,88,268.42","2,80,071.16","3,01,001.12","2,87,740.31",...,...,...,...,...,...,...,2011,287740.31,327.12,10.04
462,Maldives,...,...,...,...,152.98,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,282.10","1,351.70","1,447.68","1,508.21","1,535.90",...,...,...,2015,1535.90,...,3.38
466,Mali,...,...,...,...,...,"8,666.21",...,...,...,...,"12,298.70",...,...,...,...,...,...,...,...,...,"52,732.84",...,...,...,...,...,...,...,...,2010,52732.84,...,3.50
470,Malta,"2,570.37","2,424.28","2,493.29","3,079.73","2,864.00","2,660.74","2,783.21","2,798.73","2,765.98","2,853.10","2,789.77","2,917.46","2,969.38","3,250.05","3,139.28","2,972.18","3,032.32","3,130.48","3,078.43","2,899.98","2,984.08","2,992.34","3,207.53","2,894.18","2,933.25","2,255.29","1,944.05","2,156.18","2,186.11",2018,2186.11,-14.95,4.98
584,Marshall Islands,...,...,...,...,...,...,...,...,...,...,122.53,...,...,...,...,135.09,...,...,...,...,169.82,...,...,...,...,...,...,...,...,2010,169.82,...,3.01
478,Mauritania,...,...,...,...,...,"4,329.86",...,...,...,...,"6,943.85",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,6943.85,...,2.64
480,Mauritius,...,...,...,...,...,"3,505.57",...,...,...,...,"3,996.22","4,232.05","4,148.89","4,329.32","4,319.23","4,342.16","5,488.04",...,...,...,...,...,...,"6,591.27",...,...,...,...,...,2013,6591.27,...,5.25
484,Mexico,"4,04,179.37","4,16,948.34","4,17,845.81","4,24,326.64","4,49,255.55","4,37,655.32","4,58,823.48","4,80,816.27","5,04,742.35","4,93,564.82","5,25,638.24","5,17,097.89","5,13,514.59","5,23,480.21","5,52,855.52","5,61,540.10","5,81,689.21","6,10,557.23","6,43,223.27","6,23,101.90","6,38,605.89","6,50,407.17","6,47,100.66","6,05,887.32",...,...,...,...,...,2013,605887.32,49.91,5.10
583,Micronesia (Federated States of),...,...,...,...,246.01,...,...,...,...,...,173.93,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,173.93,...,1.62
492,Monaco,102.74,103.56,109.17,108.13,108.87,105.59,109.91,108.02,107.24,108.20,109.07,106.94,107.24,104.54,100.09,98.69,92.72,92.63,93.36,91.05,87.89,85.57,87.56,90.29,84.81,85.76,86.53,85.52,86.93,2018,86.93,-15.39,2.25
496,Mongolia,"19,317.40","17,680.30","16,005.30","15,223.60","14,345.00","14,251.50","15,299.20","15,925.30","15,929.70",...,...,...,...,...,...,...,"17,710.95",...,...,...,...,...,...,...,...,...,...,...,...,2006,17710.95,-8.32,6.92
499,Montenegro,"5,706.30","6,540.17","4,564.26","3,329.86","2,215.30","1,406.29","4,431.93","4,303.56","4,703.40","4,760.97","5,605.98","5,196.93","5,689.96","4,856.03","4,842.96","4,510.42","4,643.92","4,655.01","4,365.87","3,084.51","4,024.82","3,863.59",...,...,...,...,...,...,...,2011,3863.59,-32.29,6.18
504,Morocco,...,...,...,...,"44,394.00",...,...,...,...,...,"59,699.69",...,...,...,"71,387.70","74,681.60","76,369.40",...,"85,287.90",...,"1,00,516.44",...,"96,108.05",...,...,...,...,...,...,2012,96108.05,...,2.89
508,Mozambique,"6,783.15",...,...,...,"8,223.89",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994,8223.89,21.24,0.55
104,Myanmar,...,...,...,...,...,...,...,...,...,...,"33,995.69","34,125.14","34,774.81","36,134.45","37,542.13","38,374.90",...,...,...,...,...,...,...,...,...,...,...,...,...,2005,38374.90,...,0.78
516,Namibia,...,...,...,...,"5,602.09",...,...,...,...,...,"9,085.80",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,9085.80,...,5.06
520,Nauru,...,...,...,...,35.90,...,...,...,...,...,19.29,...,...,41.50,...,...,...,22.60,...,...,42.19,...,...,...,...,...,...,...,...,2010,42.19,...,4.21
524,Nepal,...,...,...,...,"31,188.87",...,...,...,...,...,"26,031.33",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,26031.33,...,1.09
528,Netherlands,"2,20,740.87","2,28,385.56","2,29,110.63","2,29,867.60","2,30,750.53","2,30,937.80","2,41,763.55","2,33,603.08","2,34,161.15","2,20,828.43","2,19,239.07","2,19,714.04","2,17,608.55","2,18,291.27","2,19,893.84","2,14,226.59","2,09,176.56","2,07,676.79","2,07,040.28","2,01,382.08","2,13,281.34","1,99,175.46","1,95,272.03","1,94,878.14","1,87,184.61","1,95,422.37","1,94,991.61","1,92,876.47","1,87,756.39",2018,187756.39,-14.94,11.01
554,New Zealand,"63,590.93","64,453.52","65,668.78","65,433.40","66,679.18","67,426.24","69,549.34","72,259.28","70,221.38","72,059.93","74,103.08","77,105.36","77,474.96","79,643.61","79,294.83","81,274.42","81,455.21","79,415.58","79,526.33","76,771.18","77,267.81","76,975.49","79,401.58","78,804.91","79,449.84","79,493.71","77,623.31","79,640.86","78,862.29",2018,78862.29,24.02,16.63
558,Nicaragua,...,...,...,...,"7,651.84",...,...,...,...,...,"11,980.64",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,11980.64,...,2.36
562,Niger,"4,852.38",...,...,...,...,...,...,...,...,...,"13,627.00",...,...,...,...,...,...,...,"15,520.00",...,...,...,...,...,...,...,...,...,...,2008,15520.00,219.84,1.02
566,Nigeria,...,...,...,...,"2,42,626.40",...,...,...,...,...,"2,12,444.00",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,212444.00,...,1.74
570,Niue,...,...,...,...,4.42,...,...,...,...,...,4.85,...,...,...,...,5.57,6.74,8.15,4.87,26.08,...,...,...,...,...,...,...,...,...,2009,26.08,...,16.08
807,North Macedonia,"13,257.34","12,496.89","11,880.30","12,289.73","12,050.82","12,076.94","11,612.05","12,268.55","12,900.85","12,435.15","12,092.05","12,121.15","12,232.14","12,284.35","12,417.18","13,034.86","11,938.33","12,404.59","12,484.65","11,491.30",...,...,...,...,...,...,...,...,...,2009,11491.30,-13.32,5.55
578,Norway,"51,459.02","49,199.53","47,536.73","49,405.88","51,267.85","51,620.17","54,604.38","54,596.46","54,758.82","55,717.70","55,114.75","56,348.39","55,289.87","55,795.67","56,190.76","55,403.47","55,355.14","57,008.70","55,587.36","53,179.20","55,468.97","54,643.09","54,121.12","53,969.36","53,930.25","54,353.97","53,472.21","52,386.53","52,022.40",2018,52022.40,1.09,9.75
512,Oman,...,...,...,...,"20,878.67",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994,20878.67,...,9.72
586,Pakistan,...,...,...,...,"1,75,199.00",...,...,...,...,...,...,...,...,...,...,...,...,...,"3,20,234.00",...,...,...,"3,64,449.00",...,...,"3,94,583.00",...,...,...,2015,394583.00,...,1.98
585,Palau,...,...,...,...,104.86,19.82,32.37,85.17,171.18,47.04,164.51,...,...,...,...,346.48,...,...,...,...,...,...,...,...,...,...,...,...,...,2005,346.48,...,17.51
591,Panama,...,...,...,...,"10,692.08",...,...,...,...,...,"9,707.74",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,9707.74,...,3.20
598,Papua New Guinea,...,...,...,...,"5,012.24",...,...,...,...,...,"10,195.68",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,10195.68,...,1.74
600,Paraguay,"56,196.95",...,...,...,"26,355.62",...,...,...,...,...,"23,429.88",...,...,...,...,"32,296.22",...,...,...,...,...,"44,088.45","45,230.73",...,...,...,...,...,...,2012,45230.73,-19.51,7.04
604,Peru,...,...,...,...,"57,582.87",...,...,...,...,...,"63,197.00",...,...,...,...,...,...,...,...,...,"80,591.02",...,"84,564.00",...,...,...,...,...,...,2012,84564.00,...,2.87
608,Philippines,...,...,...,...,"1,00,866.61",...,...,...,...,...,"1,26,878.71",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,126878.71,...,1.63
616,Poland,"4,75,080.32","4,63,126.70","4,50,485.86","4,50,327.26","4,44,648.99","4,46,722.54","4,60,555.49","4,50,448.67","4,20,050.15","4,08,500.81","3,95,949.88","3,94,895.90","3,85,174.51","3,98,551.08","4,04,101.55","4,04,459.53","4,19,741.76","4,19,497.50","4,13,124.39","3,94,084.80","4,12,926.32","4,12,006.11","4,04,526.56","4,01,147.19","3,88,469.51","3,91,674.13","4,00,268.49","4,14,679.37","4,12,856.37",2018,412856.37,-13.10,10.89
620,Portugal,"58,558.61","60,519.11","64,463.09","62,938.84","63,906.04","68,546.69","66,206.27","69,401.65","74,238.09","82,290.12","81,528.17","81,121.33","85,574.06","80,229.86","83,350.56","85,503.56","80,733.33","78,449.13","76,066.24","72,999.62","68,749.86","67,356.05","65,466.54","63,611.12","63,520.26","67,698.41","65,865.83","70,447.04","67,280.28",2018,67280.28,14.89,6.56
634,Qatar,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"61,592.97",...,...,...,...,...,...,...,...,...,...,...,2007,61592.97,...,50.55
410,Republic of Korea,"2,92,959.18","3,16,165.43","3,43,246.07","3,78,850.65","4,03,823.65","4,37,240.23","4,70,924.43","5,00,803.78","4,30,185.41","4,68,314.21","5,01,335.34","5,14,458.22","5,36,099.11","5,46,424.65","5,55,143.69","5,59,059.09","5,64,427.04","5,79,427.36","5,92,707.18","5,97,583.32","6,57,515.90","6,82,985.64","6,87,091.84","6,96,853.31","6,90,884.85","6,92,861.37","6,93,942.65",...,...,2016,693942.65,136.87,13.61
498,Republic of Moldova,"43,418.87","38,747.40","28,754.48","23,218.02","20,991.45","17,423.99","17,263.96","16,025.55","14,044.25","11,771.85","10,730.67","11,420.96","11,141.81","11,617.26","12,304.47","12,752.98","11,943.30","11,658.57","13,058.72","13,136.80","13,939.38","14,141.72","13,364.24","12,836.34",...,...,...,...,...,2013,12836.34,-70.44,3.15
642,Romania,"2,47,994.30","2,04,473.46","1,91,274.11","1,82,090.01","1,80,133.16","1,87,227.78","1,89,592.38","1,84,139.93","1,66,852.83","1,47,899.99","1,43,154.46","1,46,187.17","1,48,897.93","1,53,779.79","1,52,551.97","1,51,387.14","1,52,110.74","1,54,670.41","1,49,918.10","1,28,031.30","1,24,173.34","1,29,010.35","1,25,638.73","1,16,001.00","1,16,214.83","1,16,418.66","1,14,287.85","1,16,875.47","1,16,115.12",2018,116115.12,-53.18,5.95
643,Russian Federation,"31,87,507.08","30,24,887.55","25,37,506.16","23,99,711.49","21,37,226.57","20,84,988.22","20,29,941.37","19,12,753.07","18,79,354.90","19,05,174.11","19,01,067.27","19,42,384.53","19,24,360.11","19,59,432.50","19,74,435.64","19,95,073.02","20,57,942.51","20,59,557.10","20,98,480.69","19,61,217.41","20,57,878.02","21,19,644.44","21,47,996.18","20,92,550.41","20,94,363.54","20,94,011.75","20,98,138.55","21,55,270.61","22,20,122.95",2018,2220122.95,-30.35,15.23
646,Rwanda,...,...,...,...,...,...,...,...,...,...,...,...,"2,381.07",...,...,"6,180.08",...,...,...,...,...,...,...,...,...,...,...,...,...,2005,6180.08,...,0.70
659,Saint Kitts and Nevis,...,...,...,...,164.41,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994,164.41,...,3.95
662,Saint Lucia,...,...,...,...,886.07,...,...,...,...,...,493.63,...,...,...,...,546.14,...,...,...,...,647.60,...,...,...,...,...,...,...,...,2010,647.60,...,3.72
670,Saint Vincent and the Grenadines,392.18,...,...,...,379.57,...,...,410.40,...,...,295.12,...,...,...,381.02,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2004,381.02,-2.84,3.51
882,Samoa,...,...,...,...,560.83,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994,560.83,...,3.32
674,San Marino,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,237.45,...,...,267.27,...,...,...,...,...,...,...,...,2010,267.27,...,8.56
678,Sao Tome and Principe,...,...,...,...,...,...,...,...,88.17,...,...,...,...,...,...,102.29,...,...,...,...,...,...,153.42,...,...,...,...,...,...,2012,153.42,...,0.81
682,Saudi Arabia,"1,65,268.97",...,...,...,...,...,...,...,...,...,"2,96,059.87",...,...,...,...,...,...,...,...,...,"5,25,332.15",...,"5,48,262.55",...,...,...,...,...,...,2012,548262.55,231.74,18.81
686,Senegal,...,...,...,...,...,...,...,...,...,...,"16,882.11",...,...,...,...,"13,580.08",...,...,...,...,...,...,...,...,...,...,...,...,...,2005,13580.08,...,1.22
688,Serbia,"80,802.93",...,...,...,...,...,...,...,"66,342.41",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1998,66342.41,-17.90,6.85
690,Seychelles,...,...,...,...,...,249.28,...,...,...,...,330.08,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,330.08,...,4.08
702,Singapore,...,...,...,...,"26,859.08",...,...,...,...,...,"38,789.97",...,...,...,...,...,...,...,...,...,"46,869.50",...,"48,333.87",...,...,...,...,...,...,2012,48333.87,...,9.00
703,Slovakia,"73,517.13","64,096.66","58,415.82","55,050.77","52,701.64","53,302.33","53,189.63","53,130.67","52,525.60","51,197.48","49,291.58","51,564.19","50,196.23","50,412.28","51,271.02","51,271.66","51,168.78","49,417.37","49,935.39","45,653.72","46,405.54","45,704.01","43,185.82","42,855.65","40,791.62","41,830.67","42,316.79","43,475.29","43,348.35",2018,43348.35,-41.04,7.95
705,Slovenia,"18,609.59","17,289.66","17,371.45","17,555.31","17,944.60","18,634.26","19,281.69","19,647.74","19,411.18","18,788.62","19,037.60","19,952.64","20,121.41","19,844.10","20,156.01","20,456.75","20,625.25","20,789.28","21,514.46","19,530.10","19,555.22","19,565.61","19,004.84","18,307.64","16,575.01","16,750.90","17,607.61","17,366.76","17,502.14",2018,17502.14,-5.95,8.42
90,Solomon Islands,...,...,...,...,294.38,...,...,...,...,...,422.29,...,...,...,...,493.02,...,...,...,...,618.61,...,...,...,...,...,...,...,...,2010,618.61,...,1.17
710,South Africa,"3,47,349.36",...,...,...,"3,79,837.16",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994,379837.16,9.35,9.36
728,South Sudan,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"31,521.81","32,646.60","33,381.66","33,638.50",...,...,...,2015,33638.50,...,3.14
724,Spain,"2,89,383.33","2,96,990.56","3,06,740.10","2,96,219.09","3,12,944.73","3,28,901.25","3,21,217.52","3,35,660.95","3,45,704.24","3,73,171.35","3,88,776.13","3,86,579.77","4,04,906.86","4,12,869.59","4,28,860.79","4,43,439.52","4,36,395.82","4,47,253.68","4,13,027.78","3,73,425.05","3,58,858.91","3,58,230.88","3,50,958.86","3,24,693.22","3,26,815.62","3,38,254.29","3,26,890.38","3,40,298.29","3,34,255.16",2018,334255.16,15.51,7.16
144,Sri Lanka,...,...,...,"28,326.00","29,598.41","29,128.00",...,...,...,...,"18,797.24",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,18797.24,...,1.00
275,State of Palestine,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"3,261.75",...,...,...,...,...,...,...,2011,3261.75,...,0.79
729,Sudan,...,...,...,...,...,"54,194.00",...,...,...,...,"67,839.60",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,67839.60,...,2.49
740,Suriname,...,...,...,...,...,...,...,...,...,...,...,...,...,"3,330.00",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2003,3330.00,...,6.82
752,Sweden,"71,184.93","71,428.09","70,970.22","71,276.38","73,788.74","73,120.48","77,087.95","72,084.29","72,549.44","69,454.61","68,114.65","68,934.26","69,642.10","70,017.22","69,455.15","66,624.03","66,247.36","65,129.16","62,753.43","58,496.75","64,467.31","60,131.47","57,294.30","55,607.71","53,846.36","53,739.18","53,285.94","52,715.03","51,779.24",2018,51779.24,-27.26,5.19
756,Switzerland,"53,778.90","55,658.49","55,396.14","52,921.29","51,914.23","52,829.75","53,432.35","52,303.07","53,869.04","53,658.46","53,080.70","54,601.12","53,068.38","54,095.78","54,698.08","55,414.41","55,022.40","53,159.34","54,524.83","53,082.11","54,726.72","50,615.83","52,037.42","52,816.49","48,877.39","48,412.50","48,725.31","47,873.18","46,332.51",2018,46332.51,-13.85,5.43
760,Syrian Arab Republic,...,...,...,...,"52,787.40","55,114.49","55,256.94","57,356.71","62,271.89","64,533.88","69,648.27","69,197.20","71,073.91","72,926.55","74,843.52","79,215.75",...,...,...,...,...,...,...,...,...,...,...,...,...,2005,79215.75,...,4.31
762,Tajikistan,"24,181.00","23,972.00","20,283.90","18,018.00","12,093.00","9,526.00","7,896.00","7,932.00","7,022.00","6,750.00","6,750.00","6,980.00","7,178.00","7,500.00","8,382.00","7,876.00","8,458.00","7,630.00","7,675.00","8,266.00","8,184.00",...,...,...,...,...,...,...,...,2010,8184.00,-66.16,1.09
764,Thailand,...,...,...,...,"2,23,990.13",...,...,...,...,...,"2,26,086.00","2,38,303.00","2,49,798.00","2,61,886.00","2,79,133.00","2,87,728.00","2,90,984.00","3,01,055.00","3,03,027.00","3,04,459.00","3,14,920.00","3,14,272.00","3,24,780.00","3,18,660.90",...,...,...,...,...,2013,318660.90,...,4.68
626,Timor-Leste,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,"1,276.59",...,...,...,...,...,...,...,...,2010,1276.59,...,1.17
768,Togo,...,...,"4,258.24","4,625.05","4,660.06","4,995.74","5,527.08","5,774.80","6,277.31",...,"4,917.19",...,...,...,...,"6,158.02",...,...,...,...,...,...,...,...,...,...,...,...,...,2005,6158.02,...,1.10
776,Tonga,...,...,...,...,229.22,...,...,...,...,...,245.09,...,...,...,...,...,192.19,...,...,...,...,...,...,...,...,...,...,...,...,2006,192.19,...,1.89
780,Trinidad and Tobago,"16,006.18",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1990,16006.18,0.00,13.11
788,Tunisia,...,...,...,...,"25,140.76",...,...,...,...,...,"34,237.87",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,34237.87,...,3.53
792,Turkey,"2,19,367.81","2,26,756.07","2,32,975.38","2,40,316.70","2,34,287.67","2,47,761.96","2,67,396.69","2,78,626.96","2,80,231.00","2,77,650.22","2,98,759.82","2,80,301.38","2,86,003.42","3,05,260.93","3,14,668.94","3,37,139.73","3,58,291.53","3,91,422.39","3,87,590.13","3,95,596.00","3,98,882.58","4,27,830.53","4,47,254.81","4,39,325.69","4,58,368.97","4,72,595.01","4,97,741.90","5,23,752.84","5,20,941.59",2018,520941.59,137.47,6.33
795,Turkmenistan,...,...,...,...,"34,901.24",...,...,...,...,...,"50,315.64",...,...,...,"75,408.52",...,...,...,...,...,"66,367.20",...,...,...,...,...,...,...,...,2010,66367.20,...,13.05
798,Tuvalu,...,...,...,...,5.56,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,18.43,...,...,...,...,2014,18.43,...,1.68
800,Uganda,...,...,...,...,"41,547.17",...,...,...,...,...,"27,559.78",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,27559.78,...,1.17
804,Ukraine,"9,42,072.46","8,55,689.21","8,00,682.92","7,10,580.89","6,04,307.69","5,61,511.11","5,14,681.25","4,98,995.26","4,80,322.33","4,49,025.44","4,27,203.05","4,45,295.32","4,30,433.29","4,39,724.29","4,42,498.57","4,41,635.07","4,59,266.97","4,62,601.91","4,50,384.56","3,89,970.18","4,06,799.09","4,28,125.58","4,17,169.51","4,08,768.45","3,62,502.50","3,18,938.91","3,37,397.31","3,22,778.65","3,39,244.28",2018,339244.28,-63.99,7.67
784,United Arab Emirates,...,...,...,...,"1,30,435.70",...,...,...,...,...,"1,29,834.00",...,...,...,...,"1,95,308.00",...,...,...,...,...,...,...,...,"1,99,878.61",...,...,...,...,2014,199878.61,...,21.69
826,United Kingdom of Great Britain and Northern Ireland,"7,97,812.04","8,07,236.09","7,86,435.91","7,67,022.50","7,58,171.05","7,51,691.00","7,73,629.78","7,48,416.32","7,47,129.66","7,16,725.96","7,16,279.71","7,19,097.19","6,99,596.36","7,06,682.23","7,03,280.27","6,95,430.66","6,88,259.17","6,76,546.33","6,56,112.47","6,00,031.69","6,14,493.22","5,67,259.49","5,83,865.70","5,70,218.68","5,29,981.28","5,12,121.42","4,86,371.70","4,75,259.76","4,65,931.88",2018,465931.88,-41.60,6.94
834,United Republic of Tanzania,"38,988.84",...,...,...,"39,236.70",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994,39236.70,0.64,1.36
840,United States of America,"64,37,000.13","63,73,259.70","64,80,086.59","65,96,774.55","66,85,730.47","67,71,015.64","69,74,407.04","70,28,804.64","70,77,750.26","71,25,608.98","72,75,396.97","71,72,475.08","72,14,460.60","72,55,112.41","73,81,668.68","73,91,771.13","73,14,388.89","74,16,454.47","72,10,129.30","67,53,906.09","69,81,613.04","68,20,533.47","65,80,674.82","67,69,551.03","68,29,016.66","66,76,371.43","65,24,080.44","64,88,234.64","66,76,649.62",2018,6676649.62,3.72,20.41
858,Uruguay,"25,658.13",...,...,...,"28,109.20",...,...,...,"32,240.39",...,"28,371.21",...,"30,812.30",...,"30,396.31",...,"35,019.52",...,"37,228.81",...,"31,199.58",...,"34,294.76",...,"32,564.60",...,"32,147.55","32,006.48",...,2017,32006.48,24.74,9.31
860,Uzbekistan,"1,80,315.32","1,83,155.74","1,76,299.41","2,03,048.70","1,83,614.00","1,84,178.05","1,88,963.96","1,79,273.10","1,73,629.76","1,82,190.66","1,97,973.67","1,99,796.95","2,04,220.18","2,01,710.11","1,98,948.62","1,96,226.63","2,11,745.07","2,12,548.44","2,27,298.98","2,07,574.59","1,99,239.54","2,04,026.59","2,05,269.93",...,...,...,...,...,...,2012,205269.93,13.84,6.97
548,Vanuatu,...,...,...,...,299.39,...,...,...,...,...,586.23,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,586.23,...,3.17
862,Venezuela (Bolivarian Republic of),...,...,...,...,...,...,...,...,...,"1,92,192.24",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1999,192192.24,...,8.10
704,Viet Nam,...,...,...,...,"84,454.06",...,...,...,...,...,"1,35,795.01",...,...,...,...,...,...,...,...,...,"2,66,049.23",...,...,"2,78,441.86",...,...,...,...,...,2013,278441.86,...,3.07
