CountryID,Country and area,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnote
72,Botswana,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.11,0.04,0.03,0.07,0.07,
76,Brazil,92.77,92.92,92.39,92.89,92.71,92.13,91.25,90.58,90.59,87.54,87.24,81.54,82.76,83.88,82.80,83.75,83.18,84.18,79.98,84.14,78.61,81.06,76.09,69.65,65.31,65.62,71.60,70.24,
92,British Virgin Islands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.52,0.51,0.51,1.01,0.95,0.94,0.67,
96,Brunei Darussalam,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.05,0.04,0.05,0.02,0.05,
100,Bulgaria,4.46,5.97,5.79,5.11,3.85,5.54,6.83,6.86,7.98,7.80,7.21,4.94,6.34,7.75,8.08,10.67,10.03,7.58,7.55,10.03,13.72,9.21,12.73,17.23,16.34,18.29,16.37,14.11,
854,Burkina Faso,4.89,6.70,9.95,21.86,33.80,38.68,27.01,20.26,23.08,34.72,25.13,14.75,17.53,21.57,21.56,19.57,14.60,18.14,21.97,18.86,20.88,15.47,15.52,14.50,10.34,9.31,14.39,12.51,
108,Burundi,98.18,98.53,98.13,98.20,98.29,98.33,98.33,98.36,98.21,98.00,98.02,98.29,98.45,98.08,97.87,98.04,97.89,98.32,98.25,96.69,87.32,90.78,97.89,83.13,77.78,79.65,82.18,54.35,
132,Cabo Verde,0.00,0.00,0.00,2.86,6.33,7.23,7.95,7.53,7.84,6.84,5.48,3.64,3.30,2.50,2.73,2.53,2.78,2.96,2.44,1.62,1.15,6.85,18.13,20.54,17.36,19.95,18.69,16.87,
116,Cambodia,34.76,21.98,23.27,18.75,16.87,20.48,23.71,15.43,14.29,13.58,14.11,10.71,5.12,6.46,3.66,4.67,4.25,3.29,3.04,3.87,3.50,5.19,36.26,57.31,60.58,45.55,46.87,39.13,
120,Cameroon,97.25,97.27,97.12,97.12,96.83,96.80,96.79,98.85,98.36,98.76,98.91,98.11,96.42,95.77,95.38,94.21,76.22,73.37,74.49,69.45,72.22,74.27,74.03,67.07,64.22,54.94,52.82,51.31,
124,Canada,61.57,60.64,60.84,60.83,59.38,60.01,62.10,61.16,59.12,59.77,59.26,56.59,58.40,57.40,56.99,58.60,58.17,59.01,60.40,61.92,60.18,61.43,62.41,62.82,61.97,61.78,63.17,64.59,
136,Cayman Islands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
140,Central African Rep.,81.05,80.85,81.25,80.41,79.21,79.41,78.85,78.85,78.85,78.50,78.50,76.85,76.85,76.36,83.33,83.75,83.83,85.09,85.09,85.00,84.38,83.83,84.75,99.31,99.32,99.33,99.33,99.35,
148,Chad,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
152,Chile,48.60,65.80,74.90,74.37,67.20,65.70,54.80,56.90,44.90,35.40,46.20,49.40,51.00,46.30,42.93,50.47,52.67,39.55,40.59,41.95,36.67,32.49,29.49,28.01,35.78,36.16,35.76,36.28,
156,China,20.40,18.46,17.56,18.08,18.11,18.91,17.38,17.28,17.84,16.45,16.41,18.85,17.58,15.01,16.21,15.99,15.40,15.13,17.85,18.41,19.05,16.83,20.00,19.75,22.10,23.38,24.33,24.39,2
344,"China, Hong Kong SAR",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3
446,"China, Macao SAR",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4
