CountryID,Country,1990,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1990,Footnotes 1995,Footnotes 1996,Footnotes 1997,Footnotes 1998,Footnotes 1999,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017
688,Serbia,...,...,...,...,...,...,...,...,...,...,...,...,...,...,100.7723155,100.4346268,100.1846928,100.0406527,99.87874676,98.79508822,100.2048349,99.92348805,...,...,,,,,,,,,,,,,,,,,,,,,,,,
703,Slovakia,...,...,...,...,...,...,...,...,...,...,104.0532924,...,69.01345552,...,67.48266803,...,53.86746382,...,53.85753992,...,54.36729218,...,34.47410537,...,,,,,,,,,,,,,,,,,,,,,,,,
705,Slovenia,...,...,...,...,...,...,...,...,...,...,91.78544289,...,75.00365105,...,76.15749227,...,86.1051374,...,55.27622362,...,59.07143639,...,62.06751499,...,,,,,,,,,,,,,,,,,,,,,,,,
724,Spain,...,...,...,...,...,...,...,...,...,...,117.6895603,...,92.41312472,...,92.14677293,...,91.72506111,...,77.73359662,...,77.78596075,...,66.53760892,...,,,,,,,,,,,,,,,,,,,,,,,,
275,State of Palestine,...,...,...,...,...,...,100,...,...,100,100,100,100,100,100,100,100,...,100,...,100,...,...,...,,,,,,,23,,,24,24,24,24,"24,25",24,24,24,,24,,24,,,
752,Sweden,...,...,...,...,...,...,...,...,...,...,71.86284828,...,24.60575169,...,48.28086221,...,30.45170428,...,41.65730663,...,42.55251048,...,55.98340137,...,,,,,,,,,,,,,,,,,,,,,,,,
760,Syrian Arab Republic,...,...,...,...,...,...,...,...,...,100,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
788,Tunisia,...,...,...,...,...,...,...,100,100,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
792,Turkey,...,...,...,...,...,...,...,...,...,...,123.3861178,...,599.3330863,...,114.27884,...,80.09278979,...,89.53916554,...,189.0090274,...,138.3477243,...,,,,,,,,,,,,,,,,,,,,,,,,
804,Ukraine,...,95.32840885,96.82629453,102.581037,96.36903731,72.27697585,82.27505007,115.7609845,140.9414021,87.16162287,80.8259069,78.16266053,83.04316046,79.79027052,87.87716557,95.56365812,58.16767653,52.4022277,51.32055668,60.31423168,56.41662724,68.05415566,72.06509224,68.11364583,,,,,,,,,,,,,,,,,,,,,,,,
826,United Kingdom of Great Britain and Northern Ireland,...,...,...,...,...,...,...,...,...,...,59.38134723,...,40.54762355,...,45.48940194,...,37.64066043,...,33.08933873,...,33.81329622,...,31.72525479,...,,,,,,,,,,,,,,,,,,,,,,,,
834,United Republic of Tanzania,100,...,...,...,...,...,...,...,...,...,22.22222222,26.4705892,24.53333325,25.34380989,62.29802435,69.03514372,75.74485915,84.29654237,86.17786794,80.5751634,89.23046432,90.96333689,...,...,26,,,,,,,,,,26,26,26,26,26,26,26,26,"26,27","28,29","28,29","28,29",,
860,Uzbekistan,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,99.90234933,99.93073962,94.1531701,50.73842251,,,,,,,,,,,,,,,,,,,,,"30,31","30,31","30,31","30,31"
894,Zambia,...,...,...,...,...,...,99.6,...,...,...,...,100,...,...,...,...,...,...,...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
