CountryID,Country,Occurrence 1990-1999,Occurrence 2000-2009,Occurrence 2010-2019,Total deaths 1990-1999,Total deaths 2000-2009,Total deaths 2010-2019,Persons affected 1990-1999,Persons affected 2000-2009,Persons affected 2010-2019
4,Afghanistan,17,45,46,2729,1218,2218,183479,459474,453890
8,Albania,4,4,7,15,4,4,46500,76484,82602
12,Algeria,8,25,6,118,1312,97,37973,200271,36094
16,American Samoa,...,1,...,...,6,...,...,3,...
24,Angola,...,21,19,...,341,401,...,816159,334944
32,Argentina,10,20,20,85,77,103,465074,749075,745569
51,Armenia,2,1,1,4,1,0,7144,0,750
36,Australia,14,21,12,66,34,49,55432,35391,212997
40,Austria,6,7,2,63,27,4,10000,61416,200
31,Azerbaijan,4,3,1,16,11,3,1733800,36500,70000
44,Bahamas,...,...,1,...,...,0,...,...,1000
50,Bangladesh,28,23,20,2944,2417,910,58165663,58649803,26310843
112,Belarus,3,...,1,2,...,0,42000,...,50000
56,Belgium,4,6,3,1,2,4,875,2610,690
84,Belize,2,1,1,0,1,0,2600,38000,20000
204,Benin,7,4,4,37,35,50,834196,288776,924575
64,Bhutan,1,2,...,22,200,...,600,1000,...
68,Bolivia (Plurinational State of),9,13,17,209,430,439,397273,1442031,1534350
70,Bosnia and Herzegovina,...,7,9,...,6,30,...,294233,1036269
72,Botswana,1,4,4,20,3,12,5500,148392,11685
76,Brazil,28,39,40,764,1087,1646,327567,4441672,3126578
100,Bulgaria,1,11,8,0,52,30,200,13270,47147
854,Burkina Faso,2,8,6,28,67,61,68060,315143,230458
108,Burundi,...,16,13,...,36,226,...,75281,64463
132,Cabo Verde,...,1,...,...,3,...,...,150,...
116,Cambodia,5,8,9,672,455,538,2889379,6644235,4639790
120,Cameroon,3,6,8,32,72,99,1200,37396,348770
124,Canada,6,18,9,25,9,12,49900,16070,153317
140,Central African Republic,5,6,5,7,6,3,76533,56350,61013
148,Chad,4,8,5,41,173,96,255206,376128,758670
152,Chile,5,14,10,300,74,227,165387,675833,218918
156,China,58,126,124,19173,6740,8980,1003620234,528315707,383784910
344,"China, Hong Kong Special Administrative Region",4,1,...,87,0,...,5710,0,...
170,Colombia,25,32,34,532,1287,1664,556175,5510358,4677118
174,Comoros,...,1,1,...,2,4,...,2500,65137
178,Congo,3,4,3,2,7,19,78500,85000,9614
188,Costa Rica,5,14,6,27,51,38,256021,284229,194180
384,Côte d’Ivoire,1,3,8,28,33,135,0,12456,31650
191,Croatia,...,4,8,...,0,4,...,2050,13462
192,Cuba,10,6,3,65,4,7,709773,75775,13316
203,Czechia,3,6,4,36,38,26,102167,218765,1301400
408,Democratic People's Republic of Korea,6,9,10,276,1229,936,9551307,1724372,2301181
180,Democratic Republic of the Congo,4,12,20,64,151,762,141056,37119,833761
262,Djibouti,2,1,2,145,51,9,140000,100000,400000
214,Dominican Republic,4,9,12,43,723,29,21000,113060,2881860
218,Ecuador,6,11,12,727,227,109,329072,431084,146257
818,Egypt,5,2,2,624,18,27,164128,870,3500
222,El Salvador,4,8,3,39,83,40,14950,7332,307099
232,Eritrea,...,2,...,...,0,...,...,7013,...
748,Eswatini,...,2,1,...,0,11,...,274500,400
231,Ethiopia,16,24,11,469,1443,214,848995,1222055,1076101
242,Fiji,...,7,2,...,26,15,...,12280,19545
246,Finland,...,1,...,...,0,...,...,400,...
250,France,13,18,12,94,44,92,6176,53674,12812
254,French Guiana,1,1,...,0,10,...,70000,5,...
258,French Polynesia,2,...,1,13,...,0,511,...,5004
266,Gabon,...,...,1,...,...,1,...,...,77845
270,Gambia,2,4,3,53,6,11,36000,15208,42261
268,Georgia,4,4,8,8,1,52,800,3190,155319
276,Germany,7,6,5,19,29,18,205200,331558,6950
288,Ghana,3,7,11,202,112,198,3024602,696370,1246377
