CountryID,Country,"Forest Area, 1990 (1000 ha)","Forest Area, 2000 (1000 ha)","Forest Area, 2010 (1000 ha)","Forest Area, 2015 (1000 ha)","Forest Area, 2020 (1000 ha)"
398,Kazakhstan,3162.24,3156.93,3082.18,3308.46,3454.68
404,Kenya,3858.54,3961.19,3616.34,3522.41,3611.09
296,Kiribati,1.18,1.18,1.18,1.18,1.18
414,Kuwait,3.45,4.85,6.25,6.25,6.25
417,Kyrgyzstan,1136.42,1180.9,1229.68,1251.81,1315.38
418,Lao People's Democratic Republic,17843.0,17425.0,16940.5,16768.0,16595.5
428,Latvia,3173.0,3241.0,3372.12,3391.44,3410.79
422,Lebanon,139.7,138.18,137.35,140.33,143.33
426,Lesotho,34.52,34.52,34.52,34.52,34.52
430,Liberia,8525.24,8222.64,7920.04,7768.74,7617.44
434,Libya,217.0,217.0,217.0,217.0,217.0
438,Liechtenstein,6.5,6.7,6.7,6.7,6.7
440,Lithuania,1945.0,2020.0,2170.0,2187.0,2201.0
442,Luxembourg,85.8,86.7,88.7,88.7,88.7
450,Madagascar,13693.45,13030.67,12561.98,12495.89,12429.81
454,Malawi,3501.7,3081.7,2661.7,2451.7,2241.7
458,Malaysia,20618.5,19691.35,18947.65,19464.22,19114.04
462,Maldives,0.82,0.82,0.82,0.82,0.82
466,Mali,13296.0,13296.0,13296.0,13296.0,13296.0
470,Malta,0.35,0.35,0.35,0.35,0.46
584,Marshall Islands,9.4,9.4,9.4,9.4,9.4
474,Martinique,47.84,48.74,50.29,51.29,52.29
478,Mauritania,476.04,421.64,367.24,340.04,312.8
480,Mauritius,41.07,41.93,38.39,38.3,38.77
175,Mayotte,19.1,15.67,14.41,14.14,13.89
484,Mexico,70591.65,68381.35,66943.31,66330.91,65692.08
583,Micronesia (Federated States of),63.58,63.86,64.13,64.27,64.42
492,Monaco,0.0,0.0,0.0,0.0,0.0
496,Mongolia,14352.0,14263.9,14183.9,14178.33,14172.78
499,Montenegro,626.0,626.0,827.0,827.0,827.0
500,Montserrat,3.5,2.5,2.5,2.5,2.5
504,Morocco,5485.29,5506.54,5674.57,5684.69,5742.49
508,Mozambique,43378.0,41188.0,38972.14,37940.0,36743.76
104,Myanmar,39218.48,34868.11,31441.0,29992.44,28543.89
516,Namibia,8769.17,8059.08,7348.99,6993.95,6638.9
520,Nauru,0.0,0.0,0.0,0.0,0.0
524,Nepal,5672.0,5780.76,5962.03,5962.03,5962.03
528,Netherlands,345.33,359.5,373.48,364.83,369.5
540,New Caledonia,831.13,837.85,839.02,838.52,838.02
554,New Zealand,9372.27,9850.44,9848.12,9846.61,9892.59
558,Nicaragua,6399.32,5399.32,4188.15,3907.53,3407.53
562,Niger,1945.0,1328.1,1203.9,1141.8,1079.7
566,Nigeria,26526.09,24893.04,23259.98,22443.45,21626.95
570,Niue,18.93,18.83,18.77,18.82,18.87
574,Norfolk Island,0.49,0.49,0.49,0.49,0.49
807,North Macedonia,912.0,957.55,960.43,994.4,1001.49
580,Northern Mariana Islands,33.61,31.96,30.32,29.49,24.36
578,Norway,12132.0,12113.0,12102.0,12141.0,12180.0
512,Oman,3.0,3.0,3.0,3.0,2.5
586,Pakistan,4986.79,4511.26,4093.73,3932.6,3725.9
585,Palau,38.15,39.58,40.56,40.99,41.41
591,Panama,4607.4,4442.14,4327.99,4270.91,4213.84
598,Papua New Guinea,36399.68,36277.97,36178.89,36024.42,35855.76
600,Paraguay,25545.86,22991.65,19570.21,17498.94,16102.26
604,Peru,76448.54,75297.83,74049.8,73194.53,72330.37
608,Philippines,7778.81,7309.26,6839.72,7014.15,7188.59
612,Pitcairn,3.5,3.5,3.5,3.5,3.5
