CountryID,Country,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
492,Monaco,1.665372968,1.333403945,1.549999952,1.070000052,1.610000014,2.49000001,2.589999914,2.279999971,1.580000043,2.596999884,2.562000036,1.975999951,0.994000018,0.939999998
504,Morocco,4100,4100,4100,4100,4100,4100,4100,...,...,...,5000,5000,...,...
528,Netherlands,1045,1004,1052,993,989,1015,997,989,941,992,965,993,983,...
554,New Zealand,...,...,...,...,...,...,1673.5,...,...,...,...,...,...,...
807,North Macedonia,247,68,134,116,155,162,662.2999878,535.7000122,212.8000031,565.5,207,...,...,...
512,Oman,...,...,...,...,...,...,...,...,...,...,...,...,...,...
586,Pakistan,61699,61699,61576,62069,62069,62069,61934,61934,61934,64154,61675,59208,65375,61675
591,Panama,31.11000061,6.309999943,25.84000015,24.20999908,28.11000061,27.29999924,30.30999947,66.98000336,32.59000015,32.15000153,33.20000076,34.34000015,31.90999985,30.95999908
604,Peru,174.5,151.3000031,139.3000031,105.5999985,133.3999939,108.4000015,118.4000015,115.8000031,117.8000031,121.8000031,124.8000031,122.8000031,150.6999969,130.6999969
608,Philippines,2904.716797,3049.392822,3109.768311,3231.199463,3368.984131,3448.590088,3430.984131,3511.881104,3588.622314,3737.026611,3821.942139,3893.803711,...,...
616,Poland,2504,2632,2831,2671,2638,2586,2722,2733,2644,2608,2578,2608,2594,2558
620,Portugal,...,...,...,4794,...,...,...,...,...,...,...,...,...,2065
634,Qatar,220.2964325,247.5649567,246.6733093,246.6660767,248.6716003,247.0550232,248.2200012,249.5299988,250.2100067,250.0800018,250.2799988,250,250,250
410,Republic of Korea,...,...,...,3725,3784,3807,3807,3907,3990,4071,4085,4094,...,...
498,Republic of Moldova,135,136,136,129,127,129,130,130,129,128,127,128,126,127
642,Romania,760,724,650,644,659,628,624,600,598,581,554,590,635,646
643,Russian Federation,10821,10603,10286,10223,10090,9771,9364,9156,9126,8907,9756,10009,10685,10599
638,Réunion,...,...,...,...,...,...,...,...,117.7691574,109.1801758,104.5669556,101.4704895,...,...
659,Saint Kitts and Nevis,2.028000116,2.984999895,3.086999893,2.796000004,2.493999958,2.15199995,3.082000017,3.709000111,3.483999968,...,...,...,...,...
682,Saudi Arabia,...,...,...,...,...,...,15790.87988,17299.2793,18940.23438,20395.03516,21351.63086,22647.63086,21595,20775
686,Senegal,...,...,...,...,91.43876648,87.51716614,90.88288116,90.40345764,91.51220703,92.64362335,97.77187347,105.0437241,114.1253662,117.338295
688,Serbia,550,554,543,532,522,519,514,503,507,479,459,469,...,...
703,Slovakia,386,374,368,358,351,348,341,334,339,329,321,326,323,334
705,Slovenia,184,184,190,190,186,190,185,185,180,181,182,182,180,188
710,South Africa,...,...,...,...,...,...,...,...,...,...,...,...,...,...
724,Spain,6027,6387,6303,6496,6174,6732,6601,6143,6496,6109,6304,6334,6394,...
144,Sri Lanka,...,...,...,...,...,...,...,...,...,...,...,...,...,...
275,State of Palestine,249,268,275.2000122,286,250.8999939,257.7999878,270.7999878,266.8999939,292.6000061,302.3999939,274.5,291.2000122,...,...
752,Sweden,628,346,346,346,...,...,345,...,...,...,...,365,...,...
756,Switzerland,...,...,...,...,...,...,...,...,1005,...,...,...,...,...
780,Trinidad and Tobago,86.38999939,95.83999634,102.2300034,105.1900024,109.1200027,98.09999847,102.3000031,...,...,106.0999985,93,88.5,95.40000153,...
788,Tunisia,1905,1951,1978,1985,2009,2016,2175,2200,2269,2330,...,...,...,...
792,Turkey,11443,11622,11882,12096,12419,12811,13138,13560,13560,13560,14600,14600,15060,15460
804,Ukraine,2509,2450,2409,2315,2175,2007,2023,1961,1961,1911,1503,1286,1270,1178
784,United Arab Emirates,...,...,...,...,...,...,...,...,...,...,...,...,2639,2562
826,United Kingdom of Great Britain and Northern Ireland,...,2336,2266,2197,2139,2163,2152,2159,2046,...,2053,...,...,...
840,United States of America,...,...,...,...,...,...,109566.8516,...,...,...,...,...,...,...
860,Uzbekistan,467,424,481,423,678,509,500,538,371,402,476,539,...,...
862,Venezuela (Bolivarian Republic of),10382.00586,12180.37988,15275.11523,18369.85156,19874.42578,20509.23047,...,...,...,...,...,...,...,...
887,Yemen,...,3282,...,...,...,...,3805,...,...,...,...,4411,...,...
894,Zambia,...,...,...,...,...,...,...,...,...,...,...,...,...,...
716,Zimbabwe,15831.41797,9587.291016,15075.88965,15165.36035,14684.69141,16608.80664,16810.83594,16906.18359,13721.11328,14798.3916,13818.21973,10370.45215,12507.52441,13714.00684
